ticker,config,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
GOOGL,xgb_tuned,0.5257674909308185,0.23730888642919012,0.23004972635140392,1.0315547433718646,-0.22339665266113617,85,0.686,0.0661869533256032,0.5919544442564217
GOOGL,xgb_tuned_volscale,0.37550856565859747,0.17431741859158323,0.22130241096394968,0.7876887460569947,-0.21181560069098837,111,0.69,0.07861694555879173,0.4541255112173892
GOOGL,xgb_tuned_decay,0.33826510272044397,0.1581831579481705,0.22289086093584867,0.7096888462990772,-0.20300845970880343,49,0.7,0.03320520472630584,0.3714703074467498
AMZN,buy_and_hold,1.5754949510818501,0.6109193353065578,0.3064595346899376,1.993474720650018,-0.1964396385244206,1,1.0,0.0013197184320259403,1.576814669513876
AMZN,xgb_default,0.2236169181263652,0.1070655039808237,0.20420047509085115,0.5243156458533655,-0.2560911324924837,203,0.504,0.1306992653379222,0.3543161834642874
AMZN,xgb_tuned,-0.1387955681641515,-0.0725434919253436,0.2131836639341325,-0.340286354904555,-0.3435534197027422,133,0.618,0.05926940022431848,-0.07952616793983303
AMZN,xgb_tuned_volscale,0.10743019755248406,0.0527747164081287,0.21076593571634836,0.25039490479691945,-0.2787975790826621,151,0.622,0.08682398791834434,0.1942541854708284
AMZN,xgb_tuned_decay,0.6965229431687894,0.3052632411694347,0.23248245254773778,1.3130592774813925,-0.19489997863769548,61,0.706,0.052545262976780194,0.7490682061455696
META,buy_and_hold,3.6121675272117804,1.1607680877720399,0.38203942137326524,3.038346366455023,-0.18426443587416252,1,1.0,0.002315056716789776,3.61448258392857
META,xgb_default,2.1266792640504213,0.776323249197272,0.3024298318627082,2.566953281082713,-0.1560917899075679,203,0.538,0.3335393280579675,2.460218592108389
META,xgb_tuned,0.592483951435054,0.2642874660427301,0.28341415024707356,0.9325133053954107,-0.20357837626332864,59,0.664,0.04767718133447363,0.6401611327695276
META,xgb_tuned_volscale,1.0130271205745243,0.42278805852630774,0.3095746843645901,1.3657061765050038,-0.23683714492140928,89,0.7,0.09165221950978619,1.1046793400843105
META,xgb_tuned_decay,1.1859222572213333,0.4831186458351613,0.3011497149894745,1.6042473951936058,-0.18426443587416286,5,0.798,0.00546853281144033,1.1913907900327736
