ticker,fold,config,rmse_ret,rmse_vs_zero,dir_acc,mean_abs_pred,fit_secs
GOOGL,1,xgb_default,0.01606144519366036,1.0443086190065818,0.46,0.00514565045843483,0.14
GOOGL,1,xgb_tuned,0.015353865264163866,0.9983020604373116,0.53,0.0009753047167396289,0.14
GOOGL,1,xgb_tuned_volscale,0.015297198656385945,0.9946176206998647,0.53,0.001235371749416181,0.13
GOOGL,1,xgb_tuned_decay,0.015538226181626369,1.01028913213557,0.54,0.0016822130079708587,0.12
GOOGL,2,xgb_default,0.01921451756101076,1.0370734678530844,0.6,0.0052969886489518106,0.14
GOOGL,2,xgb_tuned,0.018481444820180524,0.9975070157104584,0.55,0.000846818853045761,0.13
GOOGL,2,xgb_tuned_volscale,0.0185057658309116,0.998819704143071,0.51,0.001140778898997626,0.14
GOOGL,2,xgb_tuned_decay,0.018462510040882767,0.996485040676893,0.56,0.00107231809914083,0.12
GOOGL,3,xgb_default,0.019134851841203757,1.03954015103341,0.47,0.0051651341853721534,0.15
GOOGL,3,xgb_tuned,0.018305038614596758,0.9944588421173387,0.55,0.0008084479189562899,0.15
GOOGL,3,xgb_tuned_volscale,0.018336634687673853,0.9961753637215405,0.54,0.0009307364074511521,0.15
GOOGL,3,xgb_tuned_decay,0.018437853094264416,1.0016742616773606,0.5,0.0005407479994710229,0.12
GOOGL,4,xgb_default,0.019905766192399366,1.1695040908109366,0.5050505050505051,0.0075281740799255205,0.14
GOOGL,4,xgb_tuned,0.017029068211190962,1.000492256524679,0.5959595959595959,0.001040189682066739,0.15
GOOGL,4,xgb_tuned_volscale,0.017023770106487413,1.0001809821399377,0.5757575757575758,0.001067473812180845,0.15
GOOGL,4,xgb_tuned_decay,0.01696552926670327,0.9967592148127484,0.6363636363636364,0.001130951496634225,0.13
AMZN,0,xgb_default,0.02726826701312695,1.155722586410931,0.52,0.006714010856521782,0.13
AMZN,0,xgb_tuned,0.023912129364546047,1.013477973590403,0.48,0.0012082067028495657,0.13
