ticker,fold,config,feat_set,n_features,horizon,n_train,n_test,eff_test,rmse_ret,rmse_rw,rmse_ratio,dir_acc,dir_baseline,dir_edge
AMZN,0,ext_h1,ext,29,1,244,100,100.0,0.034744484572763,0.02359412832607858,1.4725903026627154,0.4,0.57,-0.16999999999999993
AMZN,1,ext_h1,ext,29,1,344,100,100.0,0.02364143857770917,0.019121489546195147,1.2363805926622184,0.4489795918367347,0.5204081632653061,-0.07142857142857145
AMZN,2,ext_h1,ext,29,1,444,100,100.0,0.01817245872953007,0.018353529164386456,0.9901342987915513,0.58,0.53,0.04999999999999993
AMZN,3,ext_h1,ext,29,1,544,100,100.0,0.023548801621682595,0.017144721976146877,1.3735306792636004,0.46464646464646464,0.5252525252525253,-0.06060606060606066
AMZN,4,ext_h1,ext,29,1,644,100,100.0,0.020225156586054765,0.018110448542478945,1.1167672925723329,0.56,0.55,0.010000000000000009
AMZN,0,ext_h5,ext,29,5,240,100,20.0,0.0783165999628427,0.05032243621942766,1.5562958760849401,0.35,0.67,-0.32000000000000006
AMZN,1,ext_h5,ext,29,5,340,100,20.0,0.05037186927955702,0.03626050705255064,1.3891661582822172,0.51,0.55,-0.040000000000000036
AMZN,2,ext_h5,ext,29,5,440,100,20.0,0.05395380189931889,0.03727781460823755,1.4473434793947477,0.39,0.76,-0.37
AMZN,3,ext_h5,ext,29,5,540,100,20.0,0.0615468725096567,0.03972800541697975,1.5492062051358753,0.49,0.48,0.010000000000000009
AMZN,4,ext_h5,ext,29,5,640,96,19.2,0.0437923112636096,0.040785050782561824,1.0737343811849211,0.59375,0.6458333333333334,-0.05208333333333337
AMZN,0,ext_h20,ext,29,20,225,100,5.0,0.20806946321422026,0.10187882651008728,2.0423229275576587,0.25,0.79,-0.54
AMZN,1,ext_h20,ext,29,20,325,100,5.0,0.06667525874163711,0.05766699303896657,1.1562118159444086,0.5454545454545454,0.6363636363636364,-0.09090909090909094
AMZN,2,ext_h20,ext,29,20,425,100,5.0,0.09532706216846266,0.07752528745953054,1.2296253944008262,0.18,0.97,-0.79
AMZN,3,ext_h20,ext,29,20,525,100,5.0,0.07739227740585543,0.06502985250685048,1.1901038434264117,0.55,0.51,0.040000000000000036
AMZN,4,ext_h20,ext,29,20,625,81,4.0,0.05940262179451806,0.07986294836201634,0.7438070220654485,0.8148148148148148,0.9012345679012346,-0.0864197530864198
META,0,base_h1,base,18,1,444,100,100.0,0.034407018786959974,0.03359655326325337,1.0241234723501549,0.58,0.53,0.04999999999999993
META,1,base_h1,base,18,1,544,100,100.0,0.02122625492193996,0.018575537141416097,1.1426993879285359,0.5050505050505051,0.5252525252525253,-0.02020202020202022
